"","x","y","num_shots","num_made","prop_made","avg_points","total_points"
"132",7,12,1,1,1,2,2
"133",7,13,3,1,0.333333333333333,0.666666666666667,2
"134",7,14,3,1,0.333333333333333,0.666666666666667,2
"135",7,15,4,1,0.25,0.5,2
"136",7,16,7,3,0.428571428571429,0.857142857142857,6
"137",7,17,2,2,1,2,4
"138",7,18,2,0,0,0,0
"139",7,19,1,1,1,2,2
"140",7,20,2,0,0,0,0
"141",7,22,5,1,0.2,0.6,3
"142",7,23,12,1,0.0833333333333333,0.25,3
"143",7,24,13,3,0.230769230769231,0.692307692307692,9
"144",7,25,6,1,0.166666666666667,0.5,3
"145",7,26,10,4,0.4,1.2,12
"146",7,27,1,0,0,0,0
"147",7,28,1,0,0,0,0
"148",7,29,1,1,1,3,3
"149",7,33,1,1,1,3,3
"150",7,68,1,0,0,0,0
"151",8,2,1,1,1,2,2
"152",8,3,1,0,0,0,0
"153",8,4,2,1,0.5,1,2
"154",8,5,6,3,0.5,1,6
"155",8,6,10,4,0.4,0.8,8
"156",8,7,12,8,0.666666666666667,1.33333333333333,16
"157",8,8,7,5,0.714285714285714,1.42857142857143,10
"158",8,9,7,3,0.428571428571429,0.857142857142857,6
"159",8,10,13,5,0.384615384615385,0.769230769230769,10
"160",8,11,3,3,1,2,6
"161",8,12,5,4,0.8,1.6,8
"162",8,13,5,3,0.6,1.2,6
"163",8,14,5,5,1,2,10
"164",8,15,4,1,0.25,0.5,2
"165",8,16,6,3,0.5,1,6
"166",8,17,6,5,0.833333333333333,1.66666666666667,10
"167",8,18,4,1,0.25,0.5,2
"168",8,19,5,1,0.2,0.4,2
"169",8,20,1,1,1,2,2
"170",8,21,1,1,1,2,2
"171",8,23,7,2,0.285714285714286,0.857142857142857,6
"172",8,24,18,6,0.333333333333333,1,18
"173",8,25,16,7,0.4375,1.3125,21
"174",8,26,15,5,0.333333333333333,1,15
"175",8,27,13,5,0.384615384615385,1.15384615384615,15
"176",8,28,3,0,0,0,0
"177",8,29,1,0,0,0,0
"178",8,30,1,0,0,0,0
"179",8,31,1,0,0,0,0
"180",9,4,1,1,1,2,2
"181",9,5,4,0,0,0,0
"182",9,6,9,5,0.555555555555556,1.11111111111111,10
"183",9,7,11,3,0.272727272727273,0.545454545454545,6
"184",9,8,10,1,0.1,0.2,2
"185",9,9,12,5,0.416666666666667,0.833333333333333,10
"186",9,10,6,1,0.166666666666667,0.333333333333333,2
"187",9,11,5,2,0.4,0.8,4
"188",9,13,6,2,0.333333333333333,0.666666666666667,4
"189",9,14,6,2,0.333333333333333,0.666666666666667,4
"190",9,15,3,0,0,0,0
"191",9,16,8,4,0.5,1,8
"192",9,17,3,1,0.333333333333333,0.666666666666667,2
"193",9,18,6,1,0.166666666666667,0.333333333333333,2
"194",9,19,5,2,0.4,0.8,4
"195",9,20,4,2,0.5,1,4
"196",9,21,6,2,0.333333333333333,0.666666666666667,4
"197",9,22,1,0,0,0,0
"198",9,24,6,1,0.166666666666667,0.5,3
"199",9,25,15,5,0.333333333333333,1,15
"200",9,26,19,7,0.368421052631579,1.10526315789474,21
"201",9,27,16,6,0.375,1.125,18
"202",9,28,4,4,1,3,12
"203",9,29,2,1,0.5,1.5,3
"204",9,37,2,0,0,0,0
"205",9,41,1,0,0,0,0
